symbol,name,exchange,exchangeShortName,type,country
NXFIL,NX Filtration N.V.,Amsterdam,AMS,stock,NL
603991,"Shenzhen Original Advanced Compounds Co., Ltd.",Shanghai,SHH,stock,CN
YRK,York Timber Holdings Limited,Johannesburg,JNB,stock,ZA
002440,"Zhejiang Runtu Co., Ltd.",Shenzhen,SHZ,stock,CN
211900,KODEX Dividend Growth,KSE,KSC,etf,PK
PMEGX,T. Rowe Price Institutional Mid-Cap Equity Growth Fund,Nasdaq,NASDAQ,trust,US
601877,"Zhejiang Chint Electrics Co., Ltd.",Shanghai,SHH,stock,CN
WT,"WisdomTree, Inc.",New York Stock Exchange,NYSE,stock,US
2212,"Yamazaki Baking Co., Ltd.",Tokyo,JPX,stock,JP
PKI,Parkland Corporation,Toronto Stock Exchange,TSX,stock,CA
TFCCF,Terra Firma Capital Corporation,Other OTC,PNK,stock,US
EKWAX,Allspring Precious Metals Fund Class A,Nasdaq,NASDAQ,trust,US
ATT,Attacq Limited,Johannesburg,JNB,stock,ZA
BASS,BASSAC Société anonyme,Paris,EURONEXT,stock,EU
0NL1,PVA TePla AG,London Stock Exchange,LSE,stock,GB
601811,"Xinhua Winshare Publishing and Media Co., Ltd.",Shanghai,SHH,stock,CN
RNWWW,ReNew Energy Global plc,NASDAQ Global Select,NASDAQ,stock,US
CINE,Cineworld Group plc,London Stock Exchange,LSE,stock,GB
TNITY,Trinity Watthana Public Company Limited,Thailand,SET,stock,TH
BSP,BAE Systems plc,Frankfurt Stock Exchange,XETRA,stock,DE
SOU,Southern Energy Corp.,TSXV,TSX,stock,CA
XYP1,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF,Frankfurt Stock Exchange,XETRA,etf,DE
SAPL,Leverage Shares -1x Apple ETC,London Stock Exchange,LSE,etf,GB
ZBRA,PT Dosni Roha Indonesia Tbk,Jakarta Stock Exchange,JKT,stock,ID
IUSN,iShares MSCI World Small Cap UCITS ETF,Frankfurt Stock Exchange,XETRA,etf,DE
605028,"Ningbo Shimao Energy Co.,Ltd",Shanghai,SHH,stock,CN
NYT,The New York Times Company,New York Stock Exchange,NYSE,stock,US
4I1,Philip Morris International Inc.,Frankfurt Stock Exchange,XETRA,stock,DE
CULAX,Calvert Ultra-Short Duration Income Fund Class A,Nasdaq,NASDAQ,trust,US
IRFAX,Cohen & Steers International Realty Fund Class A,Nasdaq,NASDAQ,trust,US
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,Jakarta Stock Exchange,JKT,stock,ID
LYP2,Lyxor S&P 500 UCITS ETF - Daily Hedged D-EUR,Frankfurt Stock Exchange,XETRA,etf,DE
3822,Sam Woo Construction Group Limited,HKSE,HKSE,stock,HK
MCOV-B,Medicover AB (publ),Stockholm Stock Exchange,STO,stock,SE
301022,"Qingdao Hi-Tech Moulds & Plastics Technology Co., Ltd.",Shenzhen,SHZ,stock,CN
PBMRF,PT Bumi Resources Tbk,Other OTC,PNK,stock,US
PEN,Peninsula Energy Limited,Australian Securities Exchange,ASX,stock,AU
4767,"TOW Co.,Ltd.",Tokyo,JPX,stock,JP
PXSAW,Pyxis Tankers Inc.,NASDAQ Capital Market,NASDAQ,stock,US
FRMC,Formcap Corp.,Other OTC,PNK,stock,US
JNGLX,Janus Henderson Global Life Sciences Fund,Nasdaq,NASDAQ,trust,US
CAVA,"CAVA Group, Inc.",New York Stock Exchange,NYSE,stock,US
DRCR,Dear Cashmere Holding Company,Other OTC,PNK,stock,US
TSCSX,Thrivent Small Cap Stock Fund Class S,Nasdaq,NASDAQ,trust,US
TGDPX,TCW DEVELOPING MARKETS EQUITY FUND - N,Nasdaq,NASDAQ,trust,US
ICK,Industrial and Commercial Bank of China Limited,Vienna,VIE,stock,AT
VNH,VietNam Holding Limited,London Stock Exchange,LSE,stock,GB
KMTUF,Komatsu Ltd.,Other OTC,PNK,stock,US
4183,"Mitsui Chemicals, Inc.",Tokyo,JPX,stock,JP
GPOR,Gulfport Energy Corporation,New York Stock Exchange,NYSE,stock,US
XELA,"Exela Technologies, Inc.",NASDAQ Capital Market,NASDAQ,stock,US
K,Kellogg Company,New York Stock Exchange,NYSE,stock,US
000301,"Jiangsu Eastern Shenghong Co., Ltd.",Shenzhen,SHZ,stock,CN
